time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.82415222017e-08,1.28927937313e-06,10.0054243275,0.000394163133786,6.28317332046,0.0,-8.99739994188e-07,8.1310964324e-05,0.18079884083,0.00578142480708,-0.0011622730833,0.0,462.74985882946993,462.65838355231915,460.7176344398845,461.17439529330017
0.12000000000000001,-4.04845300884e-06,7.60833398534e-05,10.0251880873,0.0118712783087,0.00068505957783,0.0,-0.000238804404108,0.00396699850135,0.477909508507,-0.0319844871075,-0.0120293781308,0.0,497.0403068217865,496.2434640195073,495.9031555515097,493.1217520896938
0.18,-3.63393371505e-05,0.000600030185548,10.0610300271,0.00996762493797,0.0007198244949,0.0,-0.000854981590246,0.0132624572997,0.716705077672,-0.0313707287581,-0.0228327126194,0.0,480.12883034338836,479.30872890099,478.6718400812906,478.71825151679457
0.23999999999999996,-9.86269732411e-05,0.00162362726326,10.1097441863,0.0086382418078,6.28252683479,0.0,-0.00106434450129,0.0207136735877,0.906969751369,-0.0408039826473,-0.024696221116,0.0,464.24840860181206,464.10215767451365,466.62895830139854,465.8916386436063
0.3,-0.000182843940978,0.00314350338747,10.1722760109,0.0206942211854,0.00769683847746,0.0,-0.00276331830131,0.0314283730154,1.17716510636,-0.000267466034309,0.00848238995248,0.0,487.50724347213725,489.9798274932533,487.33029672993655,490.3503295310613
0.36000000000000004,-0.000538408784287,0.00556978615211,10.2495611347,0.0294964248272,0.00831053763086,0.0,-0.00915752725603,0.0504607948909,1.39873614601,0.0310845001664,0.0110254832457,0.0,475.31374177814894,475.50844781392556,474.08979244743256,476.4923131837645
0.4200000000000001,-0.00124131962248,0.00911532319828,10.3328433409,0.0342013716213,0.0117951571597,0.0,-0.0145825365928,0.068136364626,1.37734697175,0.0113850570043,-0.00861928609227,0.0,399.49519920349417,397.7000224696314,399.6031979961296,397.80374869810555
0.48000000000000015,-0.00238134154957,0.0139801619123,10.420440002,0.0348764715238,0.011403018845,0.0,-0.0233687620627,0.0940950082853,1.54233035732,0.00949253896549,-0.00576436552678,0.0,457.9249020906462,458.1520414390479,460.1693390803062,460.01939002682906
0.5400000000000001,-0.00412728791033,0.0206449892488,10.523712328,0.0407053705663,0.0148213358808,0.0,-0.0353336512234,0.128829373018,1.8995204253,0.0334432763731,-0.0282514983011,0.0,514.6517273698115,513.0578887925809,514.2382145911732,515.931770608973
0.6000000000000002,-0.00655435959843,0.0292347502805,10.6409493923,0.0427128626945,0.0137922065181,0.0,-0.0454702497995,0.157697731248,2.00818728726,0.0309989927592,-0.0384713856858,0.0,443.26909291857436,442.4281296009692,443.99444868728557,443.7942849897749
0.6600000000000003,-0.00953635700605,0.0394895289842,10.7621810296,0.0446423839536,0.013979819217,0.0,-0.0539315073496,0.184304779188,2.03281339596,0.0266699329092,-0.0223237012006,0.0,415.9374177956656,417.34860188944083,416.69598554704737,416.3177257924234
0.7200000000000003,-0.0130998686691,0.0515876745164,10.889614732,0.0462848492091,0.015171592624,0.0,-0.0649650209711,0.219142197717,2.21462836827,0.0229178555605,-0.00605424131019,0.0,465.4912260984982,466.762651534833,466.63958940191856,466.3467017058896
0.7800000000000004,-0.0173402888561,0.0657734041738,11.0270850414,0.047916890765,0.0164726031951,0.0,-0.0765063649183,0.253886561094,2.36739642364,0.0160365345721,0.00692861128687,0.0,457.6511316895223,458.6833225682357,458.67650053168416,458.1296773531009
0.8400000000000004,-0.0221623577923,0.0816845297235,11.1654347914,0.0517202629111,0.0170271067347,0.0,-0.0842697166613,0.276745719109,2.24449625473,0.0333400066872,0.00998237138739,0.0,365.2980168337071,365.60230357649044,365.1415316314257,366.863825700629
0.9000000000000005,-0.0275534971189,0.0993505485881,11.3019523266,0.0656126401432,0.0176553534877,0.0,-0.0954924314601,0.313489538521,2.30587817896,-0.00565526905719,0.0110086987259,0.0,428.7272839770764,428.81435392066646,432.5667627950605,429.2706138358312
0.9600000000000005,-0.0336326026273,0.119450633383,11.4422367014,0.0666719692159,0.0183601742862,0.0,-0.107214137515,0.356617779151,2.37012061198,-0.0198659367009,0.00720949863701,0.0,431.8051506451285,431.4844239402164,431.3265939776613,430.12492727983846
1.0200000000000005,-0.0404038988617,0.142001786986,11.5841521284,0.065539446309,0.0245624200395,0.0,-0.119007450243,0.394985448128,2.36040416352,-0.0181381797302,0.0323495635022,0.0,405.96277070638894,408.2122834341182,406.5728399281201,406.7276106082696
1.0800000000000005,-0.0482326681022,0.167468318796,11.7348808705,0.0685600097671,0.0301044379045,0.0,-0.142696430234,0.454220984223,2.66317341205,0.00289923451937,0.0103272301854,0.0,503.0715043426194,501.47448694509467,502.5927029787788,504.1151820719969
1.1400000000000006,-0.0573205053376,0.195899285788,11.8940057214,0.0733364415141,0.033877970779,0.0,-0.160567756162,0.493858908131,2.64099170112,0.0252308543028,-0.0103639544427,0.0,405.34396391658174,403.48019085980746,403.027580269582,405.04088938119173
1.2000000000000006,-0.0677837933331,0.227332250607,12.0592609783,0.0751286031541,0.03335772518,0.0,-0.18813333601,0.554085673293,2.86694685816,0.0181284443599,-0.0152559817252,0.0,482.77017798617663,482.40105695974063,482.61286519209085,482.07649870521385
1.2600000000000007,-0.0797400398054,0.262085462667,12.2336639301,0.0762780692248,0.032512565139,0.0,-0.210322385155,0.604444941518,2.9462646161,0.0199034933374,-0.0195967232224,0.0,439.87848382068546,439.5189533795096,438.5030127281051,438.650395413587
